date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:59:23	78/78	---M--	200	added ('OK')	text/plain	etag:%2243eeee4-4e-596d35648b99a%22	https://www.pinklemonade.in/robots.txt		(from )
15:59:27	66637/66637	---M-Z	200	added ('OK')	text/html	date:Sun,%2029%20Mar%202020%2010:29:22%20GMT	https://www.pinklemonade.in/	/Users/macbookpro/websites/graphicsleader/www.pinklemonade.in/index.html	(from )
15:59:30	155758/155758	---M--	200	added ('OK')	text/css	etag:%2243eeeee-2606e-595685acbdb00%22	https://www.pinklemonade.in/css/bootstrap.min.css	/Users/macbookpro/websites/graphicsleader/www.pinklemonade.in/css/bootstrap.min.css	(from https://www.pinklemonade.in/)
15:59:32	31000/31000	---M--	200	added ('OK')	text/css	etag:%2243eeef5-7918-595685adb1d40%22	https://www.pinklemonade.in/css/font-awesome.min.css	/Users/macbookpro/websites/graphicsleader/www.pinklemonade.in/css/font-awesome.min.css	(from https://www.pinklemonade.in/)
15:59:32	35547/35547	---M--	200	added ('OK')	text/css	etag:%2243eeefc-8adb-595c6cc16cf3f%22	https://www.pinklemonade.in/css/main.css	/Users/macbookpro/websites/graphicsleader/www.pinklemonade.in/css/main.css	(from https://www.pinklemonade.in/)
15:59:33	11938/11938	---M--	200	added ('OK')	text/css	etag:%2243eeef7-2ea2-595685adb1d40%22	https://www.pinklemonade.in/css/sal.css	/Users/macbookpro/websites/graphicsleader/www.pinklemonade.in/css/sal.css	(from https://www.pinklemonade.in/)
15:59:34	3351/3351	---M--	200	added ('OK')	text/css	etag:%2243eeefe-d17-595685adb1d40%22	https://www.pinklemonade.in/css/owl.carousel.min.css	/Users/macbookpro/websites/graphicsleader/www.pinklemonade.in/css/owl.carousel.min.css	(from https://www.pinklemonade.in/)
15:59:35	1013/1013	---M--	200	added ('OK')	text/css	etag:%2243eeef1-3f5-595685adb1d40%22	https://www.pinklemonade.in/css/owl.theme.default.min.css	/Users/macbookpro/websites/graphicsleader/www.pinklemonade.in/css/owl.theme.default.min.css	(from https://www.pinklemonade.in/)
15:59:38	22921/22921	---M--	200	added ('OK')	image/png	etag:%2243ef047-5989-595685a8ed200%22	https://www.pinklemonade.in/images/pink_web_logo.png	/Users/macbookpro/websites/graphicsleader/www.pinklemonade.in/images/pink_web_logo.png	(from https://www.pinklemonade.in/)
15:59:42	429560/429560	---M--	200	added ('OK')	text/html	etag:%2243eeeb0-68df8-59568595da500%22	https://www.pinklemonade.in/js/afterglowplayer@1.x	/Users/macbookpro/websites/graphicsleader/www.pinklemonade.in/js/afterglowplayer@1.html	(from https://www.pinklemonade.in/)
15:59:42	470/470	---M--	200	added ('OK')	image/png	etag:%2243ef042-1d6-595685a8ed200%22	https://www.pinklemonade.in/images/bfacebook.png	/Users/macbookpro/websites/graphicsleader/www.pinklemonade.in/images/bfacebook.png	(from https://www.pinklemonade.in/)
